date,f107,kp
1820-11,-1,-1
1820-12,-1,-1
1821-01,-1,-1
1821-02,-1,-1
1821-03,-1,-1
1821-04,-1,-1
1821-05,-1,-1
1821-06,-1,-1
1821-07,-1,-1
1821-08,-1,-1
1821-09,-1,-1
1821-10,-1,-1
1821-11,-1,-1
1821-12,-1,-1
1822-01,-1,-1
1822-02,-1,-1
1822-03,-1,-1
1822-04,-1,-1
1822-05,-1,-1
1822-06,-1,-1
1822-07,-1,-1
1822-08,-1,-1
1822-09,-1,-1
1822-10,-1,-1
1822-11,-1,-1
1822-12,-1,-1
1823-01,-1,-1
1823-02,-1,-1
1823-03,-1,-1
1823-04,-1,-1
1823-05,-1,-1
1823-06,-1,-1
1823-07,-1,-1
1823-08,-1,-1
1823-09,-1,-1
1823-10,-1,-1
1823-11,-1,-1
1823-12,-1,-1
1824-01,-1,-1
1824-02,-1,-1
1824-03,-1,-1
1824-04,-1,-1
1824-05,-1,-1
1824-06,-1,-1
1824-07,-1,-1
1824-08,-1,-1
1824-09,-1,-1
1824-10,-1,-1
1824-11,-1,-1
1824-12,-1,-1
1825-01,-1,-1
1825-02,-1,-1
1825-03,-1,-1
1825-04,-1,-1
1825-05,-1,-1
1825-06,-1,-1
1825-07,-1,-1
1825-08,-1,-1
1825-09,-1,-1
1825-10,-1,-1
1825-11,-1,-1
1825-12,-1,-1
1826-01,-1,-1
1826-02,-1,-1
1826-03,-1,-1
1826-04,-1,-1
1826-05,-1,-1
1826-06,-1,-1
1826-07,-1,-1
1826-08,-1,-1
1826-09,-1,-1
1826-10,-1,-1
1826-11,-1,-1
1826-12,-1,-1
1827-01,-1,-1
1827-02,-1,-1
1827-03,-1,-1
1827-04,-1,-1
1827-05,-1,-1
1827-06,-1,-1
1827-07,-1,-1
1827-08,-1,-1
1827-09,-1,-1
1827-10,-1,-1
1827-11,-1,-1
1827-12,-1,-1
1828-01,-1,-1
1828-02,-1,-1
1828-03,-1,-1
1828-04,-1,-1
1828-05,-1,-1
1828-06,-1,-1
1828-07,-1,-1
1828-08,-1,-1
1828-09,-1,-1
1828-10,-1,-1
1828-11,-1,-1
1828-12,-1,-1
1829-01,-1,-1
1829-02,-1,-1
1829-03,-1,-1
1829-04,-1,-1
1829-05,-1,-1
1829-06,-1,-1
1829-07,-1,-1
1829-08,-1,-1
1829-09,-1,-1
1829-10,-1,-1
1829-11,-1,-1
1829-12,-1,-1
1830-01,-1,-1
1830-02,-1,-1
1830-03,-1,-1
1830-04,-1,-1
1830-05,-1,-1
1830-06,-1,-1
1830-07,-1,-1
1830-08,-1,-1
1830-09,-1,-1
1830-10,-1,-1
1830-11,-1,-1
1830-12,-1,-1
1831-01,-1,-1
1831-02,-1,-1
1831-03,-1,-1
1831-04,-1,-1
1831-05,-1,-1
1831-06,-1,-1
1831-07,-1,-1
1831-08,-1,-1
1831-09,-1,-1
1831-10,-1,-1
1831-11,-1,-1
1831-12,-1,-1
1832-01,-1,-1
1832-02,-1,-1
1832-03,-1,-1
1832-04,-1,-1
1832-05,-1,-1
1832-06,-1,-1
1832-07,-1,-1
1832-08,-1,-1
1832-09,-1,-1
1832-10,-1,-1
1832-11,-1,-1
1832-12,-1,-1
1833-01,-1,-1
1833-02,-1,-1
1833-03,-1,-1
1833-04,-1,-1
1833-05,-1,-1
1833-06,-1,-1
1833-07,-1,-1
1833-08,-1,-1
1833-09,-1,-1
1833-10,-1,-1
1833-11,-1,-1
1833-12,-1,-1
1834-01,-1,-1
1834-02,-1,-1
1834-03,-1,-1
1834-04,-1,-1
1834-05,-1,-1
1834-06,-1,-1
1834-07,-1,-1
1834-08,-1,-1
1834-09,-1,-1
1834-10,-1,-1
1834-11,-1,-1
1834-12,-1,-1
1835-01,-1,-1
1835-02,-1,-1
1835-03,-1,-1
1835-04,-1,-1
1835-05,-1,-1
1835-06,-1,-1
1835-07,-1,-1
1835-08,-1,-1
1835-09,-1,-1
1835-10,-1,-1
1835-11,-1,-1
1835-12,-1,-1
1836-01,-1,-1
1836-02,-1,-1
1836-03,-1,-1
1836-04,-1,-1
1836-05,-1,-1
1836-06,-1,-1
1836-07,-1,-1
1836-08,-1,-1
1836-09,-1,-1
1836-10,-1,-1
1836-11,-1,-1
1836-12,-1,-1
1837-01,-1,-1
1837-02,-1,-1
1837-03,-1,-1
1837-04,-1,-1
1837-05,-1,-1
1837-06,-1,-1
1837-07,-1,-1
1837-08,-1,-1
1837-09,-1,-1
1837-10,-1,-1
1837-11,-1,-1
1837-12,-1,-1
1838-01,-1,-1
1838-02,-1,-1
1838-03,-1,-1
1838-04,-1,-1
1838-05,-1,-1
1838-06,-1,-1
1838-07,-1,-1
1838-08,-1,-1
1838-09,-1,-1
1838-10,-1,-1
1838-11,-1,-1
1838-12,-1,-1
1839-01,-1,-1
1839-02,-1,-1
1839-03,-1,-1
1839-04,-1,-1
1839-05,-1,-1
1839-06,-1,-1
1839-07,-1,-1
1839-08,-1,-1
1839-09,-1,-1
1839-10,-1,-1
1839-11,-1,-1
1839-12,-1,-1
1840-01,-1,-1
1840-02,-1,-1
1840-03,-1,-1
1840-04,-1,-1
1840-05,-1,-1
1840-06,-1,-1
1840-07,-1,-1
1840-08,-1,-1
1840-09,-1,-1
1840-10,-1,-1
1840-11,-1,-1
1840-12,-1,-1
1841-01,-1,-1
1841-02,-1,-1
1841-03,-1,-1
1841-04,-1,-1
1841-05,-1,-1
1841-06,-1,-1
1841-07,-1,-1
1841-08,-1,-1
1841-09,-1,-1
1841-10,-1,-1
1841-11,-1,-1
1841-12,-1,-1
1842-01,-1,-1
1842-02,-1,-1
1842-03,-1,-1
1842-04,-1,-1
1842-05,-1,-1
1842-06,-1,-1
1842-07,-1,-1
1842-08,-1,-1
1842-09,-1,-1
1842-10,-1,-1
1842-11,-1,-1
1842-12,-1,-1
1843-01,-1,-1
1843-02,-1,-1
1843-03,-1,-1
1843-04,-1,-1
1843-05,-1,-1
1843-06,-1,-1
1843-07,-1,-1
1843-08,-1,-1
1843-09,-1,-1
1843-10,-1,-1
1843-11,-1,-1
1843-12,-1,-1
1844-01,-1,-1
1844-02,-1,-1
1844-03,-1,-1
1844-04,-1,-1
1844-05,-1,-1
1844-06,-1,-1
1844-07,-1,-1
1844-08,-1,-1
1844-09,-1,-1
1844-10,-1,-1
1844-11,-1,-1
1844-12,-1,-1
1845-01,-1,-1
1845-02,-1,-1
1845-03,-1,-1
1845-04,-1,-1
1845-05,-1,-1
1845-06,-1,-1
1845-07,-1,-1
1845-08,-1,-1
1845-09,-1,-1
1845-10,-1,-1
1845-11,-1,-1
1845-12,-1,-1
1846-01,-1,-1
1846-02,-1,-1
1846-03,-1,-1
1846-04,-1,-1
1846-05,-1,-1
1846-06,-1,-1
1846-07,-1,-1
1846-08,-1,-1
